fips,location,county,state,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,lat,long,distance_to_nearest_plant,name_of_nearest_plant,name,is_plant
12093,"Okeechobee County, Florida",Okeechobee,Florida,76.5,49.18,0.82,-46.39,4.41,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3864,-80.8886,124567.67138580148,Stanton Energy Center,NA,0
12095,"Orange County, Florida",Orange,Florida,45.4,-11.71,0.98,-43.32,5.46,81.12,2014,362,300,61,1,0,0,0,126,56,39,0,3,226,133,0,28.5145,-81.3236,15667.313058698395,Stanton Energy Center,NA,0
12097,"Osceola County, Florida",Osceola,Florida,52,11.39,0.86,-43.18,4.38,74.28,2014,348,316,32,0,0,0,0,100,50,33,0,0,348,0,0,28.0627,-81.1494,46592.74386434398,Stanton Energy Center,NA,0
12099,"Palm Beach County, Florida",Palm Beach,Florida,32.7,11.39,0.72,-53.88,3.37,55.55,2014,365,308,55,2,0,0,0,119,59,38,0,0,271,94,0,26.6476,-80.4655,214858.8210757238,Stanton Energy Center,NA,0
12101,"Pasco County, Florida",Pasco,Florida,65.6,85.49,0.85,-45.82,4.45,52.82,2014,365,331,33,1,0,0,0,108,50,35,0,0,365,0,0,28.3091,-82.3932,57053.84538593117,Big Bend Station,NA,0
12103,"Pinellas County, Florida",Pinellas,Florida,48.4,29.39,0.83,-46.64,4.33,54.62,2014,365,287,77,1,0,0,0,112,58,40,0,1,198,166,0,27.92,-82.7256,34672.08486726184,Big Bend Station,NA,0
12105,"Polk County, Florida",Polk,Florida,55.8,34.55,0.96,-42.67,5.43,66.45,2014,364,288,76,0,0,0,0,87,58,40,0,0,185,179,0,27.9489,-81.6976,71566.34083272111,Big Bend Station,NA,0
12107,"Putnam County, Florida",Putnam,Florida,86.9,77.23,1.42,-30.66,5.5,81.29,2014,292,292,0,0,0,0,0,35,20,14,0,0,0,0,292,29.6087,-81.7443,17603.56036384364,Seminole Generating Station,NA,0
12109,"Saint Johns County, Florida",St. Johns,Florida,48.7,7.03,0.8,-54.66,4.71,61.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9016,-81.4407,26248.83044827043,Seminole Generating Station,NA,0
12111,"Saint Lucie County, Florida",St. Lucie,Florida,52.6,61.7,0.88,-41.04,4.5,63.99,2014,360,343,16,1,0,0,0,122,48,34,0,0,360,0,0,27.3773,-80.472,140344.8812413101,Stanton Energy Center,NA,0
12113,"Santa Rosa County, Florida",Santa Rosa,Florida,74.3,79.33,0.89,-41.58,6.39,116.93,2014,365,288,74,3,0,0,0,136,59,40,0,0,220,145,0,30.7004,-87.0219,100309.05885613576,Barry Steam Plant,NA,0
12115,"Sarasota County, Florida",Sarasota,Florida,36,6.64,0.65,-50.14,4.52,38.67,2014,365,278,86,1,0,0,0,105,62,40,0,1,209,155,0,27.1845,-82.3315,67948.12824611145,Big Bend Station,NA,0
